,CantonCode,MunicipalityCode
1525,BE,853
1526,VD,5409
1527,ZH,31
1528,SH,2931
1529,AG,4324
1530,AG,4039
1531,BE,538
1532,NE,6456
1533,VD,5621
1534,SO,2473
1535,TG,4666
1536,BE,338
1537,SG,3427
1538,SG,3293
1539,TG,4506
1540,SH,2932
1541,ZH,227
1542,GE,6631
1543,BE,390
1544,ZH,172
1545,VD,5412
1546,BE,923
1547,AG,4254
1548,ZH,151
1549,SG,3214
1550,VD,5403
1551,VD,5749
1552,VD,5503
1553,SO,2546
1554,ZH,228
1555,TG,4411
1556,VD,5728
1557,GR,3661
1558,LU,1069
1559,ZH,56
1560,OW,1401
1561,VD,5501
1562,TG,4401
1563,LU,1031
1564,AG,4239
1565,AG,4289
1566,VD,5568
1567,NE,6452
1568,ZH,292
1569,LU,1136
1570,FR,2250
1571,VD,5611
1572,ZH,248
1573,TI,5048
1574,FR,2325
1575,TG,4546
1576,BE,392
1577,BE,356
1578,GR,3862
1579,VS,6090
1580,BE,956
1581,SO,2427
1582,GR,3561
1583,BE,879
1584,SO,2572
1585,LU,1098
1586,VS,6293
1587,LU,1059
1588,GR,3921
1589,LU,1099
1590,AG,4283
1591,VD,5518
1592,SG,3422
1593,AG,4044
1594,ZH,224
1595,LU,1093
1596,SG,3402
1597,AG,4234
1598,VD,5889
1599,ZH,214
1600,VD,5669
1601,VD,5859
1602,LU,1102
1603,VD,5411
1604,ZG,1701
1605,ZH,83
1606,BE,303
1607,JU,6708
1608,VD,5711
1609,AG,4274
1610,BE,785
1611,LU,1122
1612,BE,535
1613,UR,1208
1614,LU,1143
1615,ZH,225
1616,TG,4671
1617,VD,5636
1618,AG,4047
1619,VD,5601
1620,BE,889
1621,VD,5633
1622,VD,5632
1623,BE,304
1624,FR,2050
1625,VD,5489
1626,BE,944
1627,GR,3911
1628,TG,4701
1629,VD,5822
1630,AG,4205
1631,AG,4010
1632,SG,3237
1633,AI,3101
1634,JU,6782
1635,SO,2543
1636,TI,5113
1637,TI,5231
1638,BE,791
1639,TG,4501
1640,BE,358
1641,ZH,213
1642,FR,2114
1643,BE,934
1644,BE,619
1645,ZH,178
1646,BE,593
1647,BE,312
1648,GR,3581
1649,VS,6110
1650,SH,2920
1651,LU,1083
1652,AG,4042
1653,VS,6232
1654,LU,1151
1655,SO,2525
1656,LU,1033
1657,BE,305
1658,GE,6640
1659,VD,5561
1660,SO,2477
1661,BE,412
1662,SG,3231
1663,VS,6261
1664,BE,737
1665,NE,6432
1666,BL,2775
1667,AG,4066
1668,TI,5125
1669,AG,4021
1670,BS,2703
1671,BE,302
1672,VD,5717
1673,BE,883
1674,BE,733
1675,SG,3424
1676,LU,1095
1677,VD,5642
1678,BE,414
1679,SG,3215
1680,SO,2503
